model,config,block,importance,lo,hi,p
RandomForest,7,SensorTemp,0.00018047359083861458,6.477299601236885e-05,0.0003832957748171355,0.0
RandomForest,7,SensorValueRAW,0.6351800561340595,0.46173070974115493,0.910852376042139,0.0
RandomForest,7,GEOMETRY_BLOCK,0.15372444119829887,0.10861512891532829,0.22552822995070268,0.0
RandomForest,8,Volume,0.09765548479284003,0.068294503146023,0.1514948968245789,0.0
RandomForest,8,Area,0.016873070021092507,0.005501941689398542,0.028927766007561785,0.005
RandomForest,8,MaxHeight,0.006241571936969836,-0.001600329935769576,0.015832191012253867,0.12
RandomForest,8,CenterDiviation,0.000491318533538565,0.00027003575608787743,0.0008417338142505726,0.0
RandomForest,8,UsedCoilArea,0.0016629519482687094,0.00012753114474339528,0.0037307329768070875,0.02
RandomForest,8,SensorTemp,0.00019349305999927235,7.536716447928415e-05,0.00042693159548121417,0.0
RandomForest,8,SensorValueRAW,0.630034851768935,0.45594661894272653,0.9032987832613949,0.0
RandomForest,8,GEOMETRY_BLOCK,0.15618588484607743,0.11038994135976285,0.22901765669893842,0.0
RandomForest,9,Volume,0.09141772045587548,0.0644162464629933,0.14154798459588702,0.0
RandomForest,9,Area,0.017542715527233077,0.005705780071135365,0.030821582124593024,0.005
RandomForest,9,MaxHeight,0.0064668429670734495,-0.001259888353546193,0.015129046022959865,0.09
RandomForest,9,CenterDiviation,0.0004784841012763774,0.0002766415679528761,0.0008263084461937103,0.0
RandomForest,9,UsedCoilArea,0.0014699197545872122,0.00013447501082640979,0.003265572523052186,0.03
RandomForest,9,SensorTemp,0.00018448164233630937,7.06553996759035e-05,0.0003789669257930172,0.0
RandomForest,9,SensorValueRAW,0.6350127633714463,0.4620025511463412,0.9109591418933741,0.0
RandomForest,9,GEOMETRY_BLOCK,0.15479935938800304,0.10982014737816632,0.22651606792970677,0.0
RandomForest,10,Volume,0.09258325277889501,0.06519472355764463,0.1435024107271902,0.0
RandomForest,10,Area,0.01733070393083591,0.005545065666711237,0.030509811481925116,0.005
RandomForest,10,MaxHeight,0.0064967841904930435,-0.0012811880712490537,0.015172264151512103,0.09
RandomForest,10,CenterDiviation,0.0004791951682343587,0.0002761642628244743,0.0008281845774273322,0.0
RandomForest,10,UsedCoilArea,0.0014384652402289477,0.00010161365458050967,0.003262420590392552,0.035
